image size: (210, 160, 3)
action size: 3
/home/matthew_daangn_com/anaconda3/lib/python3.6/site-packages/skimage/transform/_warps.py:84: UserWarning: The default mode, 'constant', will be changed to 'reflect' in skimage 0.15.
  warn("The default mode, 'constant', will be changed to 'reflect' in "
global steps 220800 | score: 11.0 | entropy: 0.3430 | grad norm: 2.881 
global steps 220800 | score: 11.0 | entropy: 0.3429 | grad norm: 2.881 
global steps 220800 | score: 9.0 | entropy: 0.3430 | grad norm: 2.881 
global steps 220800 | score: 10.0 | entropy: 0.3430 | grad norm: 2.881 
global steps 220800 | score: 11.0 | entropy: 0.3450 | grad norm: 2.881 
global steps 220800 | score: 12.0 | entropy: 0.3431 | grad norm: 2.881 
global steps 220800 | score: 12.0 | entropy: 0.3431 | grad norm: 2.881 
global steps 225600 | score: 11.0 | entropy: 0.3440 | grad norm: 2.629 
global steps 225600 | score: 15.0 | entropy: 0.3448 | grad norm: 2.629 
global steps 225600 | score: 10.0 | entropy: 0.3441 | grad norm: 2.629 
global steps 225600 | score: 9.0 | entropy: 0.3441 | grad norm: 2.629 
global steps 225600 | score: 8.0 | entropy: 0.3459 | grad norm: 2.629 
global steps 225600 | score: 8.0 | entropy: 0.3443 | grad norm: 2.629 
global steps 230400 | score: 10.0 | entropy: 0.3448 | grad norm: 2.877 
global steps 230400 | score: 11.0 | entropy: 0.3448 | grad norm: 2.877 
global steps 230400 | score: 11.0 | entropy: 0.3448 | grad norm: 2.877 
global steps 230400 | score: 11.0 | entropy: 0.3457 | grad norm: 2.877 
global steps 230400 | score: 12.0 | entropy: 0.3465 | grad norm: 2.877 
global steps 230400 | score: 15.0 | entropy: 0.3463 | grad norm: 2.877 
global steps 230400 | score: 10.0 | entropy: 0.3457 | grad norm: 2.877 
global steps 235200 | score: 10.0 | entropy: 0.3450 | grad norm: 3.840 
global steps 235200 | score: 16.0 | entropy: 0.3465 | grad norm: 3.840 
global steps 235200 | score: 9.0 | entropy: 0.3451 | grad norm: 3.840 
global steps 235200 | score: 13.0 | entropy: 0.3453 | grad norm: 3.840 
global steps 235200 | score: 12.0 | entropy: 0.3452 | grad norm: 3.840 
global steps 235200 | score: 11.0 | entropy: 0.3447 | grad norm: 3.840 
global steps 240000 | score: 8.0 | entropy: 0.3472 | grad norm: 4.377 
global steps 240000 | score: 12.0 | entropy: 0.3482 | grad norm: 4.377 
global steps 240000 | score: 9.0 | entropy: 0.3487 | grad norm: 4.377 
global steps 240000 | score: 8.0 | entropy: 0.3490 | grad norm: 4.377 
global steps 240000 | score: 7.0 | entropy: 0.3487 | grad norm: 4.377 
global steps 240000 | score: 8.0 | entropy: 0.3471 | grad norm: 4.377 
global steps 240000 | score: 10.0 | entropy: 0.3486 | grad norm: 4.377 
global steps 244800 | score: 9.0 | entropy: 0.3471 | grad norm: 4.669 
global steps 244800 | score: 12.0 | entropy: 0.3483 | grad norm: 4.669 
global steps 244800 | score: 9.0 | entropy: 0.3469 | grad norm: 4.669 
